customer_id,total_spend,transaction_count,avg_spend,first_purchase,last_purchase,recency_days,frequency,monetary,segment,cluster
58,2325.5001380029566,9,258.3889042225508,2023-01-29,2024-12-22,279,9,2325.5001380029566,2,3
59,871.5207759431984,3,290.50692531439944,2023-02-02,2025-03-11,200,3,871.5207759431984,1,2
60,1106.2754558639724,5,221.2550911727945,2023-02-23,2025-02-02,237,5,1106.2754558639724,1,2
61,1576.2389707805123,6,262.7064951300854,2023-12-21,2025-08-04,54,6,1576.2389707805123,2,3
62,2064.7609363784927,6,344.1268227297488,2023-05-08,2024-09-05,387,6,2064.7609363784927,2,3
63,1374.282487058199,6,229.0470811763665,2023-04-20,2025-08-02,56,6,1374.282487058199,1,2
64,48.20863889688935,1,48.20863889688935,2023-02-13,2023-02-13,957,1,48.20863889688935,0,1
65,1462.2886645445558,5,292.4577329089112,2023-04-13,2025-03-03,208,5,1462.2886645445558,1,2
66,766.0507120656775,3,255.35023735522583,2023-06-14,2025-05-06,144,3,766.0507120656775,1,2
67,1575.4364276325916,4,393.8591069081479,2024-01-17,2025-09-19,8,4,1575.4364276325916,1,2
68,691.3351137363679,3,230.44503791212264,2023-08-20,2025-09-17,10,3,691.3351137363679,1,2
69,2098.007126474928,7,299.7153037821326,2023-08-27,2025-06-06,113,7,2098.007126474928,2,3
70,1265.3570681349358,4,316.339267033734,2023-09-05,2025-07-15,74,4,1265.3570681349358,1,2
71,586.7912376064735,3,195.59707920215783,2023-04-15,2024-11-13,318,3,586.7912376064735,0,1
72,878.2311605239563,3,292.7437201746521,2023-01-06,2025-04-16,164,3,878.2311605239563,1,2
73,200.6005287713619,2,100.30026438568096,2023-02-18,2025-07-26,63,2,200.6005287713619,1,2
74,1456.6766042237878,4,364.1691510559469,2024-07-16,2025-06-03,116,4,1456.6766042237878,1,2
75,1216.4493812417666,6,202.74156354029444,2023-01-11,2025-05-07,143,6,1216.4493812417666,1,2
76,353.7447983672802,3,117.9149327890934,2024-05-22,2024-10-19,343,3,353.7447983672802,0,1
78,906.4708743179284,3,302.1569581059761,2025-04-03,2025-08-18,40,3,906.4708743179284,1,2
79,439.2888297859904,2,219.6444148929952,2025-05-17,2025-05-23,127,2,439.2888297859904,1,2
80,950.275676508883,3,316.7585588362943,2024-06-25,2025-06-17,102,3,950.275676508883,1,2
81,1076.732577363637,6,179.45542956060612,2023-03-10,2025-08-05,53,6,1076.732577363637,1,2
82,1471.364765732563,5,294.2729531465126,2023-04-02,2025-05-15,135,5,1471.364765732563,1,2
83,509.64344202021977,3,169.88114734007326,2024-09-23,2025-03-31,180,3,509.64344202021977,1,2
84,1553.693360293585,6,258.9488933822642,2023-03-01,2025-06-05,114,6,1553.693360293585,1,2
85,486.02082739912737,4,121.50520684978184,2024-06-05,2025-05-04,146,4,486.02082739912737,1,2
86,2213.3290728107118,9,245.9254525345235,2023-06-12,2025-09-10,17,9,2213.3290728107118,2,3
87,489.5710606299008,1,489.5710606299008,2023-08-10,2023-08-10,779,1,489.5710606299008,0,1
88,625.6941627422366,3,208.5647209140789,2023-01-12,2023-04-17,894,3,625.6941627422366,0,1
89,850.8157552727249,4,212.70393881818123,2023-01-31,2024-05-11,504,4,850.8157552727249,0,1
90,2292.9785454834405,10,229.29785454834405,2023-02-26,2025-07-19,70,10,2292.9785454834405,2,3
91,611.1940964141296,2,305.5970482070648,2024-11-24,2025-05-18,132,2,611.1940964141296,1,2
92,1562.1479989444288,8,195.2684998680536,2023-03-02,2025-07-10,79,8,1562.1479989444288,2,3
93,1808.4944214705677,7,258.3563459243668,2023-01-03,2025-07-01,88,7,1808.4944214705677,2,3
94,522.1216476305843,3,174.04054921019477,2024-04-05,2025-07-31,58,3,522.1216476305843,1,2
95,1308.0973751249514,6,218.01622918749192,2023-03-27,2025-06-18,101,6,1308.0973751249514,1,2
96,1399.015427246291,8,174.87692840578637,2023-05-30,2025-06-28,91,8,1399.015427246291,2,3
97,428.43212730353525,2,214.21606365176763,2023-09-02,2023-12-16,651,2,428.43212730353525,0,1
98,1385.5376651305223,4,346.3844162826306,2023-08-29,2025-05-14,136,4,1385.5376651305223,1,2
99,3651.056660912738,13,280.85051237790293,2023-05-10,2025-08-11,47,13,3651.056660912738,2,3
100,784.7341533063876,4,196.1835383265969,2023-01-14,2024-09-13,379,4,784.7341533063876,0,1
101,1794.872646593484,7,256.4103780847834,2023-05-15,2025-02-05,234,7,1794.872646593484,2,3
102,887.110612840786,2,443.555306420393,2025-01-22,2025-03-25,186,2,887.110612840786,1,2
103,1613.7314945978,6,268.95524909963336,2023-01-01,2025-05-09,141,6,1613.7314945978,2,3
104,2001.568767771672,8,250.19609597145896,2023-01-15,2025-06-23,96,8,2001.568767771672,2,3
105,1580.487800414377,4,395.1219501035943,2024-08-03,2025-03-16,195,4,1580.487800414377,1,2
106,849.7899064238457,3,283.2633021412819,2023-03-18,2025-05-25,125,3,849.7899064238457,1,2
107,1216.418432544945,3,405.472810848315,2023-01-05,2025-08-30,28,3,1216.418432544945,1,2
108,1287.866080862775,4,321.9665202156938,2023-02-11,2024-11-21,310,4,1287.866080862775,1,2
109,1686.4153537700056,7,240.9164791100008,2023-12-08,2025-09-20,7,7,1686.4153537700056,2,3
110,801.7148899808005,2,400.85744499040027,2023-11-10,2025-04-04,176,2,801.7148899808005,1,2
111,1891.0503743878628,9,210.1167082653181,2023-03-03,2025-09-25,2,9,1891.0503743878628,2,3
112,704.5455876188695,4,176.13639690471737,2023-10-06,2025-05-01,149,4,704.5455876188695,1,2
113,2757.791265020374,11,250.708296820034,2023-07-23,2025-08-10,48,11,2757.791265020374,2,3
114,917.010480916956,3,305.670160305652,2024-01-27,2024-08-07,416,3,917.010480916956,0,1
115,963.1170200813484,7,137.5881457259069,2023-12-03,2025-09-02,25,7,963.1170200813484,1,2
116,1586.2695333486604,5,317.2539066697321,2023-07-06,2024-04-04,541,5,1586.2695333486604,0,1
117,1558.8157034572614,8,194.85196293215768,2023-01-13,2025-01-25,245,8,1558.8157034572614,2,3
118,2122.0526433922364,7,303.1503776274623,2023-07-19,2025-06-19,100,7,2122.0526433922364,2,3
119,243.76993932743457,3,81.25664644247819,2023-12-04,2025-09-05,22,3,243.76993932743457,1,2
120,309.2994012396939,3,103.0998004132313,2023-10-24,2024-08-10,413,3,309.2994012396939,0,1
121,467.76944282924575,3,155.92314760974858,2023-07-02,2025-07-29,60,3,467.76944282924575,1,2
122,1870.256195886152,6,311.7093659810253,2023-01-10,2025-07-05,84,6,1870.256195886152,2,3
123,1361.367194687621,4,340.3417986719052,2023-04-27,2025-04-23,157,4,1361.367194687621,1,2
124,865.3849918975807,6,144.2308319829301,2023-04-08,2024-07-04,450,6,865.3849918975807,0,1
125,419.7237389652065,1,419.7237389652065,2024-03-13,2024-03-13,563,1,419.7237389652065,0,1
126,1269.1806236533866,6,211.5301039422311,2023-08-13,2025-09-11,16,6,1269.1806236533866,1,2
127,823.5736661923917,4,205.89341654809792,2024-02-02,2025-08-14,44,4,823.5736661923917,1,2
128,2692.286176272976,8,336.5357720341219,2023-06-28,2024-09-21,371,8,2692.286176272976,2,3
129,2259.404900455719,8,282.4256125569649,2023-04-18,2025-03-18,193,8,2259.404900455719,2,3
130,2522.4114866949967,8,315.3014358368746,2023-01-24,2025-08-19,39,8,2522.4114866949967,2,3
131,1705.0917102557828,6,284.18195170929715,2023-01-17,2024-12-11,290,6,1705.0917102557828,2,3
132,1872.7539977516597,7,267.5362853930942,2023-02-21,2025-06-24,95,7,1872.7539977516597,2,3
133,1884.037402232945,5,376.807480446589,2024-10-15,2025-07-17,72,5,1884.037402232945,2,3
134,790.298800799984,4,197.574700199996,2023-03-16,2025-02-16,223,4,790.298800799984,1,2
135,1103.724388220087,5,220.7448776440173,2023-02-16,2024-08-04,419,5,1103.724388220087,0,1
136,1087.900582423881,5,217.5801164847761,2023-04-19,2025-01-31,239,5,1087.900582423881,1,2
137,1365.713212339721,5,273.1426424679442,2023-05-23,2024-10-29,333,5,1365.713212339721,1,2
138,912.3322289785368,4,228.08305724463415,2024-06-16,2025-09-18,9,4,912.3322289785368,1,2
139,282.01254544188583,2,141.00627272094292,2023-04-21,2023-08-31,758,2,282.01254544188583,0,1
140,1157.4631952060831,5,231.49263904121665,2023-10-12,2024-09-29,363,5,1157.4631952060831,1,2
141,1402.2714836084124,5,280.45429672168245,2024-07-20,2025-02-13,226,5,1402.2714836084124,1,2
142,1343.4431637771274,5,268.6886327554255,2023-05-20,2025-05-05,145,5,1343.4431637771274,1,2
143,1103.0056731081336,3,367.6685577027112,2023-06-04,2025-01-09,261,3,1103.0056731081336,1,2
144,2065.5495093200216,10,206.55495093200216,2023-09-01,2025-06-20,99,10,2065.5495093200216,2,3
145,2205.7496417586062,10,220.57496417586063,2023-08-24,2025-09-14,13,10,2205.7496417586062,2,3
146,1631.303523778414,6,271.88392062973566,2023-03-22,2025-09-21,6,6,1631.303523778414,2,3
147,3080.539107390008,10,308.0539107390008,2023-08-12,2025-07-07,82,10,3080.539107390008,2,3
148,959.790527716342,5,191.9581055432684,2023-09-08,2024-12-04,297,5,959.790527716342,1,2
149,557.2821316736777,3,185.76071055789257,2024-12-29,2025-07-14,75,3,557.2821316736777,1,2
150,151.6802291551872,2,75.8401145775936,2023-01-18,2024-03-14,562,2,151.6802291551872,0,1
151,2300.0393224432,9,255.5599247159111,2023-05-07,2025-08-29,29,9,2300.0393224432,2,3
152,2109.410608836606,9,234.37895653740068,2023-01-16,2025-01-23,247,9,2109.410608836606,2,3
153,1185.8784519545409,5,237.17569039090813,2023-11-06,2025-02-21,218,5,1185.8784519545409,1,2
154,1110.342407879007,5,222.0684815758014,2023-04-06,2025-08-21,37,5,1110.342407879007,1,2
155,1611.5582772792404,5,322.3116554558481,2023-07-11,2025-07-25,64,5,1611.5582772792404,1,2
156,225.95248002372983,1,225.95248002372983,2025-01-24,2025-01-24,246,1,225.95248002372983,1,2
157,486.05693725417234,3,162.01897908472412,2023-04-10,2025-02-12,227,3,486.05693725417234,1,2
158,1103.8576185870832,4,275.9644046467708,2023-01-22,2024-04-16,529,4,1103.8576185870832,0,1
159,906.8353798151778,3,302.2784599383926,2023-09-30,2025-01-10,260,3,906.8353798151778,1,2
160,2269.734281102292,9,252.1926979002546,2023-06-09,2025-07-02,87,9,2269.734281102292,2,3
161,3010.283806842046,11,273.6621642583678,2023-01-28,2025-03-14,197,11,3010.283806842046,2,3
162,890.0941313691001,4,222.52353284227505,2023-03-24,2025-04-19,161,4,890.0941313691001,1,2
163,1909.781497495436,5,381.9562994990872,2023-04-24,2024-10-16,346,5,1909.781497495436,1,2
164,1984.728425013108,7,283.5326321447297,2023-03-11,2025-01-29,241,7,1984.728425013108,2,3
165,642.9717773176455,3,214.3239257725485,2023-07-14,2025-03-30,181,3,642.9717773176455,1,2
166,1092.2409643959995,5,218.4481928791999,2023-11-01,2025-05-22,128,5,1092.2409643959995,1,2
167,894.0293351719267,4,223.50733379298168,2023-02-19,2024-12-09,292,4,894.0293351719267,1,2
168,1146.3421945749803,4,286.5855486437451,2023-09-20,2024-10-27,335,4,1146.3421945749803,1,2
169,244.4586962565443,1,244.4586962565443,2023-11-16,2023-11-16,681,1,244.4586962565443,0,1
170,1624.6677368621908,6,270.7779561436985,2023-02-03,2025-07-11,78,6,1624.6677368621908,2,3
171,302.7183483140875,2,151.35917415704375,2023-06-05,2024-07-09,445,2,302.7183483140875,0,1
172,1377.1011371874906,5,275.4202274374981,2023-03-06,2023-12-29,638,5,1377.1011371874906,0,1
173,1138.6088809198693,5,227.72177618397387,2024-02-23,2025-04-07,173,5,1138.6088809198693,1,2
174,456.41834770853103,2,228.20917385426552,2024-01-25,2024-10-25,337,2,456.41834770853103,0,1
175,958.0710003492557,4,239.5177500873139,2023-02-08,2024-01-29,607,4,958.0710003492557,0,1
176,666.4983097941952,3,222.16610326473173,2023-12-01,2024-06-04,480,3,666.4983097941952,0,1
177,2075.1808405826278,5,415.0361681165255,2024-08-18,2025-07-22,67,5,2075.1808405826278,2,3
178,875.59291445176,5,175.118582890352,2023-09-28,2025-07-03,86,5,875.59291445176,1,2
179,1326.3827367403785,5,265.27654734807567,2023-05-28,2025-05-19,131,5,1326.3827367403785,1,2
180,1161.453251499176,6,193.57554191652932,2023-01-02,2025-08-12,46,6,1161.453251499176,1,2
181,381.3697689186786,3,127.1232563062262,2024-01-09,2025-03-27,184,3,381.3697689186786,1,2
182,1200.7258638147373,3,400.2419546049125,2023-12-10,2025-04-20,160,3,1200.7258638147373,1,2
183,1260.5919988648168,4,315.1479997162042,2023-08-21,2025-06-16,103,4,1260.5919988648168,1,2
184,1100.8375177465143,4,275.20937943662864,2023-08-03,2025-06-25,94,4,1100.8375177465143,1,2
185,1400.8557343639256,6,233.47595572732092,2023-06-18,2025-09-08,19,6,1400.8557343639256,1,2
186,1874.6560510504653,6,312.4426751750776,2023-07-25,2025-02-01,238,6,1874.6560510504653,2,3
187,2274.020423927788,7,324.8600605611126,2023-06-11,2025-08-23,35,7,2274.020423927788,2,3
188,2015.160679959796,6,335.86011332663264,2023-01-26,2024-03-24,552,6,2015.160679959796,0,1
189,799.1834814540209,6,133.1972469090035,2023-01-07,2024-11-20,311,6,799.1834814540209,1,2
190,3966.958769050656,13,305.1506745423581,2023-02-06,2025-04-09,171,13,3966.958769050656,2,3
191,1540.244069641703,7,220.03486709167183,2023-03-21,2025-05-20,130,7,1540.244069641703,2,3
192,2317.754041941881,8,289.7192552427352,2023-01-25,2025-09-04,23,8,2317.754041941881,2,3
193,761.0693314376244,3,253.6897771458748,2023-05-14,2025-04-26,154,3,761.0693314376244,1,2
194,1011.3883401305892,5,202.27766802611785,2023-11-12,2025-06-10,109,5,1011.3883401305892,1,2
195,1827.533306053648,6,304.5888843422747,2023-09-13,2025-06-29,90,6,1827.533306053648,2,3
196,732.7922850228454,2,366.3961425114227,2024-04-01,2024-08-05,418,2,732.7922850228454,0,1
197,1583.9179698487187,5,316.7835939697437,2023-10-13,2025-03-22,189,5,1583.9179698487187,1,2
198,862.2777113596408,3,287.42590378654694,2023-07-09,2023-08-30,759,3,862.2777113596408,0,1
199,659.2505439226868,3,219.75018130756223,2023-03-05,2024-09-19,373,3,659.2505439226868,0,1
200,1489.3103321082217,5,297.8620664216444,2023-03-30,2025-01-21,249,5,1489.3103321082217,1,2
